220, 181, 445, 185, 441, 252, 218, 248
230, 259, 264, 258, 264, 281, 229, 284
264, 261, 327, 260, 324, 286, 266, 285
328, 261, 398, 267, 396, 287, 328, 287
399, 266, 432, 263, 432, 285, 399, 288
434, 266, 463, 265, 461, 285, 435, 287
222, 294, 296, 292, 297, 313, 226, 312
297, 294, 361, 291, 361, 312, 300, 316
362, 298, 399, 298, 399, 316, 364, 317
226, 323, 279, 323, 275, 346, 223, 346
280, 326, 336, 322, 336, 345, 281, 343
339, 329, 393, 327, 393, 345, 339, 346
398, 331, 451, 332, 451, 349, 398, 350
