227, 224, 262, 220, 262, 239, 227, 244
263, 220, 295, 218, 295, 234, 264, 238
298, 213, 340, 209, 339, 225, 297, 230
341, 211, 365, 206, 365, 223, 341, 228
366, 206, 418, 199, 418, 214, 366, 222
418, 196, 441, 191, 437, 211, 421, 212
441, 196, 475, 192, 475, 204, 440, 207
476, 186, 505, 183, 506, 199, 480, 202
506, 181, 571, 170, 571, 190, 506, 199
220, 273, 567, 198, 573, 304, 223, 341
212, 350, 463, 322, 459, 387, 209, 410
464, 319, 569, 303, 569, 376, 461, 384
446, 395, 518, 390, 519, 408, 445, 409
518, 390, 563, 387, 563, 402, 518, 405
