671, 657, 1222, 681, 1222, 795, 629, 765
1258, 689, 1513, 707, 1513, 812, 1255, 806
650, 800, 695, 806, 698, 905, 611, 902
731, 803, 1042, 818, 1042, 926, 719, 908
1081, 824, 1459, 836, 1459, 941, 1072, 929
608, 935, 683, 935, 671, 1045, 587, 1045
704, 944, 934, 953, 931, 1060, 689, 1045
1015, 956, 1465, 977, 1471, 1093, 1015, 1072
584, 1087, 665, 1087, 650, 1204, 581, 1204
683, 1087, 1117, 1111, 1114, 1222, 689, 1207
1189, 1114, 1456, 1120, 1474, 1237, 1177, 1240
566, 1231, 1120, 1264, 1120, 1402, 548, 1381
1141, 1261, 1540, 1273, 1540, 1414, 1144, 1402
533, 1405, 617, 1396, 617, 1540, 527, 1546
641, 1396, 1540, 1441, 1546, 1591, 632, 1543
542, 1558, 803, 1573, 803, 1714, 515, 1702
889, 1609, 1117, 1615, 1099, 1708, 859, 1693
1144, 1633, 1285, 1636, 1258, 1720, 1120, 1714
1288, 1627, 1528, 1642, 1516, 1747, 1255, 1723
506, 1714, 722, 1735, 677, 1843, 473, 1834
755, 1741, 1141, 1756, 1114, 1861, 716, 1843
1180, 1762, 1495, 1786, 1480, 1891, 1156, 1867
