47, 235, 416, 233, 417, 366, 44, 362
450, 236, 531, 236, 532, 340, 449, 340
580, 235, 861, 237, 860, 356, 577, 363
906, 236, 972, 236, 974, 342, 908, 342
43, 375, 152, 379, 156, 472, 43, 472
190, 397, 433, 398, 428, 491, 196, 500
474, 373, 668, 374, 664, 476, 464, 475
705, 398, 931, 395, 933, 478, 712, 483
46, 500, 166, 501, 169, 599, 47, 604
210, 508, 296, 508, 295, 608, 208, 608
335, 531, 538, 531, 540, 612, 338, 615
575, 514, 676, 513, 678, 614, 579, 616
714, 532, 975, 514, 974, 625, 711, 633
