203, 86, 499, 88, 515, 181, 205, 187
521, 74, 687, 71, 688, 158, 522, 164
698, 60, 770, 61, 778, 160, 701, 163
51, 214, 218, 215, 228, 343, 50, 333
224, 203, 372, 199, 379, 315, 233, 317
370, 218, 824, 172, 833, 290, 378, 308
832, 187, 1007, 182, 1014, 306, 845, 314
138, 377, 213, 376, 217, 452, 140, 459
239, 352, 647, 346, 646, 436, 241, 448
655, 356, 782, 352, 794, 422, 661, 429
797, 327, 914, 326, 917, 427, 801, 420
283, 465, 478, 469, 482, 592, 287, 585
514, 487, 791, 487, 796, 577, 515, 580
154, 614, 404, 619, 404, 738, 152, 734
436, 645, 548, 650, 548, 723, 437, 710
565, 650, 754, 656, 754, 734, 566, 726
764, 633, 830, 633, 839, 738, 764, 735
