212, 20, 293, 19, 292, 38, 212, 36
210, 35, 293, 38, 293, 47, 213, 47
418, 28, 441, 26, 441, 33, 421, 35
444, 25, 495, 23, 494, 35, 443, 34
432, 39, 455, 38, 455, 46, 432, 50
457, 38, 491, 38, 493, 49, 460, 50
210, 90, 336, 91, 336, 100, 207, 99
208, 103, 237, 102, 237, 111, 213, 113
238, 102, 260, 101, 260, 111, 239, 113
260, 103, 280, 103, 281, 115, 259, 115
282, 101, 333, 104, 333, 112, 282, 114
208, 118, 246, 118, 246, 132, 210, 132
247, 119, 330, 118, 332, 134, 248, 132
246, 174, 313, 172, 310, 185, 245, 186
224, 186, 327, 186, 329, 204, 227, 205
