543, 2422, 858, 2398, 858, 2494, 547, 2486
867, 2418, 971, 2410, 967, 2486, 879, 2486
987, 2422, 1323, 2410, 1323, 2474, 987, 2474
1331, 2414, 1671, 2406, 1671, 2486, 1335, 2482
799, 2546, 1003, 2538, 1003, 2606, 811, 2614
1031, 2538, 1291, 2526, 1291, 2606, 1039, 2610
1291, 2538, 1391, 2538, 1391, 2606, 1299, 2606
463, 2690, 759, 2666, 763, 2742, 466, 2746
795, 2678, 955, 2650, 959, 2738, 803, 2746
971, 2670, 1299, 2654, 1299, 2738, 983, 2730
1319, 2654, 1467, 2654, 1467, 2730, 1319, 2738
1491, 2654, 1699, 2658, 1699, 2730, 1487, 2734
