16, 7, 133, 8, 133, 54, 15, 52
522, 30, 782, 35, 782, 68, 518, 62
15, 60, 266, 67, 270, 147, 16, 138
286, 71, 414, 77, 411, 156, 281, 151
429, 78, 644, 82, 638, 158, 425, 157
178, 165, 246, 165, 245, 198, 180, 206
251, 164, 320, 164, 318, 199, 249, 199
326, 167, 365, 167, 365, 200, 323, 203
372, 170, 409, 168, 409, 200, 371, 202
411, 177, 485, 181, 481, 208, 413, 204
59, 232, 167, 233, 167, 279, 58, 275
186, 244, 294, 237, 294, 280, 186, 277
295, 248, 410, 254, 407, 280, 299, 281
437, 252, 465, 249, 465, 289, 435, 289
464, 246, 540, 242, 543, 288, 461, 290
540, 250, 584, 250, 584, 268, 535, 270
549, 274, 600, 272, 600, 293, 549, 293
